2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5436_20171208155733_33.edi H:/Invoice file/2017/12/INVOIC_5436_20171208155733_33.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5437_20171208155733_34.edi H:/Invoice file/2017/12/INVOIC_5437_20171208155733_34.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5438_20171208155733_35.edi H:/Invoice file/2017/12/INVOIC_5438_20171208155733_35.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:36 +0800 CST INVOIC_5439_20171208155733_36.edi H:/Invoice file/2017/12/INVOIC_5439_20171208155733_36.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5441_20171209001015_1.edi H:/Invoice file/2017/12/INVOIC_5441_20171209001015_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5442_20171209001015_2.edi H:/Invoice file/2017/12/INVOIC_5442_20171209001015_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5443_20171209001015_3.edi H:/Invoice file/2017/12/INVOIC_5443_20171209001015_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5444_20171209001015_4.edi H:/Invoice file/2017/12/INVOIC_5444_20171209001015_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5445_20171209001015_5.edi H:/Invoice file/2017/12/INVOIC_5445_20171209001015_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5446_20171209001015_6.edi H:/Invoice file/2017/12/INVOIC_5446_20171209001015_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5447_20171209001015_7.edi H:/Invoice file/2017/12/INVOIC_5447_20171209001015_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5448_20171209001015_8.edi H:/Invoice file/2017/12/INVOIC_5448_20171209001015_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5449_20171209001015_9.edi H:/Invoice file/2017/12/INVOIC_5449_20171209001015_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:14 +0800 CST INVOIC_5450_20171209001015_10.edi H:/Invoice file/2017/12/INVOIC_5450_20171209001015_10.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:16 +0800 CST INVOIC_5451_20171209001015_11.edi H:/Invoice file/2017/12/INVOIC_5451_20171209001015_11.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:16 +0800 CST INVOIC_5452_20171209001015_12.edi H:/Invoice file/2017/12/INVOIC_5452_20171209001015_12.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-09 00:10:16 +0800 CST INVOIC_5453_20171209001015_13.edi H:/Invoice file/2017/12/INVOIC_5453_20171209001015_13.edi
